,F1,F2,F3,F4,F5,F6,F7,F8
cluster1,-1.2659835095640486,-0.825488906995587,-1.3825623943785192,-0.6111329605756035,2.2361881228527585,-1.5126372637125534,1.1554023403273155,0.25263756346025085
cluster2,-0.3084784751339162,-0.09258330138748844,-0.2418090487652596,0.36281643314999984,1.1114376992176083,-0.7936876593811809,0.23841619447727136,0.425573275681912
cluster3,-0.0449048063082371,1.6826106767538775,1.5480077669930175,-0.11058507332450224,-0.656287141174802,0.11808350173625966,-0.4933356020973029,-1.3027737670867576
cluster4,-0.5574373076954701,-0.9283033895738985,-0.4010826826676786,-0.504415346695813,-0.8368423236567738,0.9300981782738432,-1.2961067834168103,-0.30989060995810924
cluster5,2.1768040987016755,0.16376492120309338,0.47744635881844016,0.8633169474459162,-1.8544963572387925,1.258143243083632,0.3956238507095237,0.9344535379027057
